chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Income: Missing,,,,,13.7,168,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Income: PIR above 2,,,,8.95,18.7,1132,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Income: PIR below 2,,,,,16.5,1084,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Race/eth: Hispanic,,,,,12.1,646,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Race/eth: Non-hispanic black,,,,8.83,17.6,517,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Race/eth: Non-hispanic white,,,,7.88,18.6,854,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Race/eth: Other,,,,8.02,14.4,367,2013-2014,0.948406040268456
Blood Vinyl Bromide (ng/mL),593-60-2,Gender: female,,,,,,1473,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Gender: male,,,,,,1392,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Income: Missing,,,,,,1197,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Income: PIR above 2,,,,,,378,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Income: PIR below 2,,,,,,1290,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Race/eth: Hispanic,,,,,,682,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Race/eth: Non-hispanic black,,,,,,636,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Race/eth: Non-hispanic white,,,,,,977,2017-2018,1
Blood Vinyl Bromide (ng/mL),593-60-2,Race/eth: Other,,,,,,570,2017-2018,1
Dieldrin (ng/g),60-57-1,Gender: female,,,0.0516,0.1103,0.3436,998,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Gender: male,,,0.0605,0.1471,0.3541,954,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Income: Missing,,,0.0548,0.0918,0.168,101,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Income: PIR above 2,,,0.0384,0.1141,0.1916,927,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Income: PIR below 2,,,0.0609,0.1471,0.4776,924,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Race/eth: Hispanic,,,,0.1055,0.1806,521,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Race/eth: Non-hispanic black,,,0.0517,0.103,0.1788,477,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Race/eth: Non-hispanic white,,,0.0594,0.1388,0.3541,876,2003-2004,0.70030737704918
Dieldrin (ng/g),60-57-1,Race/eth: Other,,,0.0567,0.1554,0.3641,78,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Gender: female,,,8.7,16.9,51.9,998,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Gender: male,,,9.3,21.9,60.5,954,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Income: Missing,,,9.3,14.9,23.2,101,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Income: PIR above 2,,,8.1,17,26,927,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Income: PIR below 2,,,9.5,21.5,76.5,924,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Race/eth: Hispanic,,,,14.6,29,521,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Race/eth: Non-hispanic black,,,8.8,15.9,25.7,477,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Race/eth: Non-hispanic white,,,9.3,19.5,60.5,876,2003-2004,0.70030737704918
Dieldrin Lipid Adj (ng/g),60-57-1,Race/eth: Other,,,9.5,26,51.9,78,2003-2004,0.70030737704918
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Gender: female,172.663627491134,178,322,627,962,1516,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Gender: male,216.95200236043,236,386,695,1340,1497,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Income: Missing,214.054734033507,216,398,891,1340,311,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Income: PIR above 2,194.722609881618,207,352,667,1520,1432,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Income: PIR below 2,189.10097638876,197,352,645,823,1270,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Race/eth: Hispanic,193.240865174905,196,312,559,977,969,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Race/eth: Non-hispanic black,248.995823815423,254,415,849,1840,656,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Race/eth: Non-hispanic white,171.611027651627,205,356,692,1050,911,2015-2016,0.00730169266511782
Ethylbenzene metabolite: Phenylglyoxylic acid (ng/mL),100-41-4,Race/eth: Other,173.427035049003,178,314,549,1280,477,2015-2016,0.00730169266511782
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Gender: female,,,,,1.08,1282,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Gender: male,,,,,1.98,1287,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Income: Missing,,,,,1.04,180,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Income: PIR above 2,,,,,1.08,1245,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Income: PIR below 2,,,,,1.77,1144,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Race/eth: Hispanic,,,,,0.89,681,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Race/eth: Non-hispanic black,,,,,2.09,555,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Race/eth: Non-hispanic white,,,,,1.78,945,2013-2014,0.983261969637991
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",62450-06-0,Race/eth: Other,,,,,0.89,388,2013-2014,0.983261969637991
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Gender: female,,,,,,1473,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Gender: male,,,,,,1393,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Income: Missing,,,,,,1197,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Income: PIR above 2,,,,,,378,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Income: PIR below 2,,,,,,1291,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Race/eth: Hispanic,,,,,,682,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Race/eth: Non-hispanic black,,,,,,637,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Race/eth: Non-hispanic white,,,,,,977,2017-2018,1
"Blood 1,1,1,2-tetrachloroethane (ng/mL)",630-20-6,Race/eth: Other,,,,,,570,2017-2018,1
Blood Chloroform (pg/mL),67-66-3,Gender: female,,8,14,32,74,1468,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Gender: male,,8,14,35,74,1390,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Income: Missing,,,13,35,74,1196,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Income: PIR above 2,,8,14,35,56,375,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Income: PIR below 2,,8,14,34,74,1287,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Race/eth: Hispanic,,,12,31,49,678,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Race/eth: Non-hispanic black,,9,16,39,73,635,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Race/eth: Non-hispanic white,,,14,34,89,976,2017-2018,0.503149055283415
Blood Chloroform (pg/mL),67-66-3,Race/eth: Other,,8,15,43,56,569,2017-2018,0.503149055283415
Blood Hexachloroethane (ng/mL),67-72-1,Gender: female,,,,,,1389,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Gender: male,,,,,,1399,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Income: Missing,,,,,,240,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Income: PIR above 2,,,,,,1238,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Income: PIR below 2,,,,,,1310,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Race/eth: Hispanic,,,,,,589,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Race/eth: Non-hispanic black,,,,,,741,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Race/eth: Non-hispanic white,,,,,,959,2011-2012,1
Blood Hexachloroethane (ng/mL),67-72-1,Race/eth: Other,,,,,,499,2011-2012,1
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Gender: female,,,,,,1285,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Gender: male,,,,,,1287,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Income: Missing,,,,,,180,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Income: PIR above 2,,,,,,1246,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Income: PIR below 2,,,,,,1146,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Race/eth: Hispanic,,,,,,683,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Race/eth: Non-hispanic black,,,,,,555,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Race/eth: Non-hispanic white,,,,,,946,2013-2014,0.996889580093313
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-10-3,Race/eth: Other,,,,,,388,2013-2014,0.996889580093313
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Gender: female,,,,,0.65,1285,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Gender: male,,,,,0.62,1287,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Income: Missing,,,,,,180,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Income: PIR above 2,,,,,0.83,1246,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Income: PIR below 2,,,,,0.62,1146,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Race/eth: Hispanic,,,,,0.64,683,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Race/eth: Non-hispanic black,,,,,0.92,555,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Race/eth: Non-hispanic white,,,,,0.62,946,2013-2014,0.978615863141524
"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",67730-11-4,Race/eth: Other,,,,,,388,2013-2014,0.978615863141524
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Gender: female,,,,2.43,6.17,1283,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Gender: male,,,,3.78,8.85,1286,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Income: Missing,,,,3.95,6.99,179,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Income: PIR above 2,,,,4.42,11.1,1245,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Income: PIR below 2,,,,1.89,5.79,1145,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Race/eth: Hispanic,,,,0.98,5.79,683,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Race/eth: Non-hispanic black,,,,4.62,12.1,554,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Race/eth: Non-hispanic white,,,,3.41,8.16,944,2013-2014,0.846632931101596
"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",68006-83-7,Race/eth: Other,,,,1.56,3.46,388,2013-2014,0.846632931101596
Blood Benzene (ng/mL),71-43-2,Gender: female,,,0.029,0.245,0.485,1460,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Gender: male,,,0.039,0.279,0.545,1380,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Income: Missing,,,0.072,0.382,0.734,1187,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Income: PIR above 2,,,0.041,0.293,0.682,376,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Income: PIR below 2,,,0.026,0.143,0.441,1277,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Race/eth: Hispanic,,,0.026,0.111,0.238,672,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Race/eth: Non-hispanic black,,,0.075,0.334,0.734,636,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Race/eth: Non-hispanic white,,,0.033,0.279,0.563,972,2017-2018,0.678169014084507
Blood Benzene (ng/mL),71-43-2,Race/eth: Other,,,0.042,0.322,0.522,560,2017-2018,0.678169014084507
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Gender: female,,,,,,1443,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Gender: male,,,,,,1356,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Income: Missing,,,,,,1182,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Income: PIR above 2,,,,,0.025,366,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Income: PIR below 2,,,,,,1251,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Race/eth: Hispanic,,,,,,666,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Race/eth: Non-hispanic black,,,,,,632,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Race/eth: Non-hispanic white,,,,,,956,2017-2018,0.99178277956413
"Blood 1,1,1-Trichloroethane (ng/mL)",71-55-6,Race/eth: Other,,,,,0.025,545,2017-2018,0.99178277956413
"p,p'-DDE (ng/g)",72-55-9,Gender: female,1.45581020323789,1.2503,3.5536,13.6887,37.2321,1001,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Gender: male,1.44972579738727,1.302,2.8041,9.9263,28.6174,955,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Income: Missing,1.5255149197393,1.2103,4.0709,15.1609,52.1532,102,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Income: PIR above 2,1.50646149073362,1.3133,3.5717,12.9687,51.6243,927,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Income: PIR below 2,1.41836177139583,1.2642,2.8348,10.9612,22.1523,927,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Race/eth: Hispanic,1.47300652948734,2.1386,6.2772,23.3832,94.1538,522,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Race/eth: Non-hispanic black,2.50491709960431,1.2073,3.8325,16.7622,44.9984,477,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Race/eth: Non-hispanic white,1.28522418540033,1.1233,2.6307,9.7083,22.1523,879,2003-2004,0.00306748466257669
"p,p'-DDE (ng/g)",72-55-9,Race/eth: Other,2.14358813462487,2.2021,5.4898,12.5722,46.1708,78,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Gender: female,235.09544573522,207,539,2010,4970,1001,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Gender: male,241.119584299176,200,466,1610,4580,955,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Income: Missing,256.940091413128,212,673,2310,8450,102,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Income: PIR above 2,249.700430028953,216,573,2130,7520,927,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Income: PIR below 2,230.648187034154,199,462,1700,3380,927,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Race/eth: Hispanic,263.655858489864,338,914,3610,14600,522,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Race/eth: Non-hispanic black,411.075108144311,216,614,2950,7520,477,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Race/eth: Non-hispanic white,207.525719173944,177,416,1490,3350,879,2003-2004,0.00306748466257669
"p,p'-DDE Lipid Adj (ng/g)",72-55-9,Race/eth: Other,357.951411943904,314,860,2130,5730,78,2003-2004,0.00306748466257669
Blood lead replicate 1 (ug/dL),7439-92-1,Gender: female,1.19431728037611,1.2,1.8,3.6,6.3,4606,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Gender: male,1.78633872428006,1.8,2.7,5.4,9.7,4339,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Income: Missing,1.37194598089062,1.4,2.1,4,7,4151,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Income: PIR above 2,1.56713894964593,1.5,2.5,5.2,9.4,4250,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Income: PIR below 2,1.64291945729108,1.7,2.5,4.3,6.4,544,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Race/eth: Hispanic,1.68436478519567,1.4,2.2,4.6,8.8,2671,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Race/eth: Non-hispanic black,1.42951218506041,1.6,2.7,5.9,11.6,2174,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Race/eth: Non-hispanic white,1.40906531934137,1.4,2.2,4.3,7.2,3768,2001-2002,0.0139742873113471
Blood lead replicate 1 (ug/dL),7439-92-1,Race/eth: Other,1.40972198177777,1.4,2.2,4,6.9,332,2001-2002,0.0139742873113471
Blood lead replicate 2 (ug/dL),7439-92-1,Gender: female,1.16448356021987,1.2,1.7,3.9,5.8,276,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Gender: male,1.77188901389944,1.8,2.5,4.8,8.3,275,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Income: Missing,1.54626769490675,1.5,2.5,6,6,30,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Income: PIR above 2,1.29650130529113,1.2,2.1,4.8,10.2,190,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Income: PIR below 2,1.51199415083165,1.6,2.3,4.1,6.5,331,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Race/eth: Hispanic,1.4884630106483,1.4,2.1,3.1,13.1,112,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Race/eth: Non-hispanic black,1.43824749226037,1.4,2.5,4.9,8.9,149,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Race/eth: Non-hispanic white,1.15291670165414,1.6,2.2,4.1,6,263,2001-2002,0.0163339382940109
Blood lead replicate 2 (ug/dL),7439-92-1,Race/eth: Other,1.70663044105099,1.7,2.3,4.1,7.2,27,2001-2002,0.0163339382940109
Blood lead (ug/dL),7439-92-1,Gender: female,0.86918524730843,0.64,1.09,2.13,4.06,3534,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Gender: male,0.665020718830005,0.85,1.37,2.81,5.6,3350,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Income: Missing,0.749396513711278,0.73,1.21,2.34,3.84,2998,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Income: PIR above 2,0.794248786501897,0.76,1.34,2.59,6.73,854,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Income: PIR below 2,0.760129811449709,0.74,1.23,2.67,6.38,3032,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Race/eth: Hispanic,0.763676349168756,0.58,1.02,2.12,5.69,1678,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Race/eth: Non-hispanic black,0.62652417422916,0.71,1.23,2.77,5.89,1566,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Race/eth: Non-hispanic white,0.882515339896049,0.76,1.26,2.36,4.22,2292,2017-2018,0.000581057524694945
Blood lead (ug/dL),7439-92-1,Race/eth: Other,0.777973893399188,0.87,1.45,2.76,6.45,1348,2017-2018,0.000581057524694945
"Lead, urine (ng/mL)",7439-92-1,Gender: female,0.230188532963152,0.24,0.43,0.97,2.27,1212,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Gender: male,0.30768299164431,0.32,0.55,1.32,2.09,1193,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Income: Missing,0.315064518258031,0.32,0.54,1.54,2.19,308,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Income: PIR above 2,0.243395731010039,0.25,0.48,0.95,1.73,1038,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Income: PIR below 2,0.290051019992141,0.28,0.52,1.27,3.03,1059,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Race/eth: Hispanic,0.261262663606933,0.25,0.46,0.95,1.89,591,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Race/eth: Non-hispanic black,0.314918379462394,0.31,0.54,1.22,2.87,554,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Race/eth: Non-hispanic white,0.270738600830644,0.27,0.5,1.23,2.27,778,2017-2018,0.00623700623700624
"Lead, urine (ng/mL)",7439-92-1,Race/eth: Other,0.246200904249618,0.27,0.46,1.17,1.86,482,2017-2018,0.00623700623700624
"Nickel, Urine (ug/L)",7440-02-0,Gender: female,1.05197588403008,1.12,2,4.15,9.97,1415,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Gender: male,1.12198201921788,1.19,1.89,4.31,6.16,1376,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Income: Missing,1.16005719242617,1.37,1.97,4.65,5.98,344,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Income: PIR above 2,0.973217001570471,1.03,1.71,3.55,5.68,1180,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Income: PIR below 2,1.27277594430651,1.28,2.22,4.64,10.35,1267,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Race/eth: Hispanic,1.03890670294862,1.14,2.01,3.98,7.86,675,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Race/eth: Non-hispanic black,1.32014267538179,1.37,2.22,4.64,10.05,637,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Race/eth: Non-hispanic white,1.09046717661759,1.09,1.76,4.18,6.05,908,2017-2018,0.0609100680759584
"Nickel, Urine (ug/L)",7440-02-0,Race/eth: Other,1.10214875077504,1.21,2.16,4.12,7.08,571,2017-2018,0.0609100680759584
Urinary total Arsenic (ug/L),7440-38-2,Gender: female,5.45971700394377,5.07,10.74,43,116.02,1537,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Gender: male,6.53886543976507,5.66,11.32,49.85,207.05,1524,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Income: Missing,6.63822169764363,5.46,12.29,55.61,177.55,312,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Income: PIR above 2,5.72230699971859,5.43,10.41,37.76,163.68,1457,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Income: PIR below 2,6.0043173583146,5.31,11.1,43.43,185.5,1292,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Race/eth: Hispanic,5.16294826179123,5.94,11.1,40.59,177.55,982,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Race/eth: Non-hispanic black,7.89174581345198,7,15.46,62.65,200.21,671,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Race/eth: Non-hispanic white,6.37835158624879,4.64,9.61,36.07,116.02,924,2015-2016,0.000653381247958184
Urinary total Arsenic (ug/L),7440-38-2,Race/eth: Other,9.29368347117628,8.39,19.68,73.25,175.06,484,2015-2016,0.000653381247958184
"Beryllium, urine (ng/mL)",7440-41-7,Gender: female,,,,,,1450,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Gender: male,,,,,,1398,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Income: Missing,,,,,,257,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Income: PIR above 2,,,,,,1226,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Income: PIR below 2,,,,,,1365,2009-2010,1
"Beryllium, urine (ng/mL)",7440-41-7,Race/eth: Hispanic,,,,,,899,2009-2010,1
